Player,height,weight,college,born,birth_city,birth_state
Marcus Thornton,193,92,Louisiana State University,1987,Baton Rouge,Louisiana
Terrence Williams,198,99,University of Louisville,1987,Seattle,Washington
Sam Young,198,99,University of Pittsburgh,1985,Washington,District of Columbia
Jeff Adrien,201,111,University of Connecticut,1986,Brookline,Massachusetts
Solomon Alabi,216,113,Florida State University,1988,Kaduna,Nigeria
Cole Aldrich,211,113,University of Kansas,1988,Burnsville,Minnesota
Al-Farouq Aminu,206,99,Wake Forest University,1990,Atlanta,Georgia
James Anderson,198,96,Oklahoma State University,1989,El Dorado,Arkansas
Omer Asik,213,115,,1986,Bursa,Turkey
Luke Babbitt,206,102,"University of Nevada, Reno",1989,Cincinnati,Ohio
Eric Bledsoe,185,86,University of Kentucky,1989,Birmingham,Alabama
Trevor Booker,203,103,Clemson University,1987,Newberry,South Carolina
Craig Brackins,208,104,Iowa State University,1987,Los Angeles,California
Avery Bradley,188,81,University of Texas at Austin,1990,Tacoma,Washington
Derrick Caracter,206,124,University of Texas at El Paso,1988,Fanwood,New Jersey
Sherron Collins,180,92,University of Kansas,1987,Chicago,Illinois
Marcus Cousin,211,111,University of Houston,1986,Baltimore,Maryland
DeMarcus Cousins,211,122,University of Kentucky,1990,Mobile,Alabama
Jordan Crawford,196,95,University of Kentucky,1986,Detroit,Michigan
Ed Davis,208,108,University of North Carolina,1989,Washington,District of Columbia
Zabian Dowdell,190,86,Virginia Polytechnic Institute and State University,1984,Pahokee,Florida
Devin Ebanks,206,97,West Virginia University,1989,Queens,New York
Semih Erden,213,108,,1986,Istanbul,Turkey
Jeremy Evans,206,90,Western Kentucky University,1987,Crossett,Arkansas
Patrick Ewing,213,108,Georgetown University,1962,Kingston,Jamaica
Christian Eyenga,196,95,,1989,Kinshasa,Democratic Republic of the Congo
Derrick Favors,208,120,Georgia Institute of Technology,1991,Atlanta,Georgia
Landry Fields,201,95,Stanford University,1988,Long Beach,California
Gary Forbes,201,99,University of Massachusetts Amherst,1985,Colon,Panama
Paul George,206,99,"California State University, Fresno",1990,Palmdale,California
Blake Griffin,208,113,University of Oklahoma,1989,Oklahoma City,Oklahoma
Luke Harangody,203,111,University of Notre Dame,1988,Decatur,Illinois
Manny Harris,196,83,University of Michigan,1989,Detroit,Michigan
Gordon Hayward,203,102,Butler University,1990,Indianapolis,Indiana
Lazar Hayward,198,102,Marquette University,1986,Buffalo,New York
Xavier Henry,198,99,University of Kansas,1991,Gent,Belgium
Damion James,201,102,University of Texas at Austin,1987,Hobbs,New Mexico
Eugene Jeter,180,79,University of Portland,1983,Los Angeles,California
Armon Johnson,196,107,Bemidji State University,1920,Gonvick,Minnesota
Chris Johnson,183,77,University of California,1949,Corpus Christi,Texas
Wesley Johnson,201,97,Syracuse University,1987,Corsicana,Texas
Dominique Jones,203,99,Mississippi State University,1975,Nashville,Tennessee
Gani Lawal,206,106,Georgia Institute of Technology,1988,College Park,Georgia
Jeremy Lin,190,90,Harvard University,1988,Palo Alto,California
Greg Monroe,211,120,Georgetown University,1990,New Orleans,Louisiana
Timofey Mozgov,216,124,,1986,St. Petersburg,Russia
Hamady N'Diaye,213,106,Rutgers University,1987,Dakar,Senegal
Gary Neal,193,95,Towson University,1984,Baltimore,Maryland
Larry Owens,201,95,Oral Roberts University,1983,Mesa,Arizona
Patrick Patterson,206,104,University of Kentucky,1989,Washington,District of Columbia
Nikola Pekovic,211,139,,1986,Bijelo Polje,Montenegro
Dexter Pittman,211,139,University of Texas at Austin,1988,Rosenberg,Texas
Quincy Pondexter,201,99,University of Washington,1988,Fresno,California
Andy Rautins,193,86,Syracuse University,1986,Syracuse,New York
Samardo Samuels,206,117,University of Louisville,1989,Trelawny,Jamaica
Larry Sanders,211,106,Virginia Commonwealth University,1988,Fort Pierce,Florida
Kevin Seraphin,206,129,,1989,Cayenne,French Guiana
Mustafa Shakur,190,86,University of Arizona,1984,Philadelphia,Pennsylvania
Garret Siler,211,138,Augusta State University,1986,Augusta,Georgia
Ish Smith,183,79,Wake Forest University,1988,Charlotte,North Carolina
Tiago Splitter,211,111,,1985,Joinville,Brazil
Lance Stephenson,196,104,University of Cincinnati,1990,Brooklyn,New York
Pape Sy,201,102,,1988,Loudeac,France
Evan Turner,201,99,Ohio State University,1988,Chicago,Illinois
Ekpe Udoh,208,108,Baylor University,1987,Edmond,Oklahoma
Ben Uzoh,190,92,University of Tulsa,1988,Houston,Texas
Greivis Vasquez,198,98,University of Maryland,1987,Caracas,Venezuela
John Wall,193,88,University of Kentucky,1990,Raleigh,North Carolina
Willie Warren,193,92,University of Oklahoma,1989,Dallas,Texas
Hassan Whiteside,213,120,Marshall University,1989,Gastonia,North Carolina
Lavoy Allen,206,117,Temple University,1989,Morrisville,Pennsylvania
Gustavo Ayon,208,113,,1985,Tepic,Mexico
Keith Benson,208,106,Indiana University,1954,New Castle,Indiana
Bismack Biyombo,206,115,,1992,Lubumbashi,Democratic Republic of the Congo
MarShon Brooks,196,90,Providence College,1989,Long Branch,New Jersey
Alec Burks,198,97,University of Colorado,1991,Grandview,Missouri
Jimmy Butler,201,99,Marquette University,1989,Houston,Texas
Derrick Byars,201,99,Vanderbilt University,1984,Memphis,Tennessee
Norris Cole,188,79,Cleveland State University,1988,Dayton,Ohio
Eric Dawson,206,113,Midwestern State University,1984,San Antonio,Texas
Justin Dentmon,180,83,University of Washington,1985,Carbondale,Illinois
Jerome Dyson,190,81,University of Connecticut,1987,Rockville,Maryland
Kenneth Faried,203,103,Morehead State University,1989,Newark,New Jersey
Jeff Foote,213,120,Cornell University,1987,Lockwood,New York
Courtney Fortson,180,83,University of Arkansas,1988,San Antonio,Texas
Jimmer Fredette,188,88,Brigham Young University,1989,Glens Falls,New York
Mickell Gladness,211,99,Alabama A&M University,1986,Birmingham,Alabama
Andrew Goudelock,190,90,College of Charleston,1988,Gainesville,Georgia
Jordan Hamilton,178,72,University of North Texas,1948,Lexington,Kentucky
Justin Harper,208,102,University of Richmond,1989,Richmond,Virginia
Josh Harrellson,208,124,University of Kentucky,1989,St. Charles,Missouri
Terrel Harris,196,86,Oklahoma State University,1987,Dallas,Texas
Tobias Harris,190,86,University of New Orleans,1967,Monroe,Louisiana
Cory Higgins,196,81,University of Colorado,1989,Danville,California
Darington Hobson,201,95,University of New Mexico,1987,Las Vegas,Nevada
Tyler Honeycutt,203,85,"University of California, Los Angeles",1990,Los Angeles,California
Dennis Horner,206,104,North Carolina State University,1988,Linwood,New Jersey
Kyrie Irving,190,87,Duke University,1992,Melbourne,Australia
Reggie Jackson,190,94,Boston College,1990,Pordenone,Italy
Charles Jenkins,190,99,Hofstra University,1989,Brooklyn,New York
Carldell Johnson,178,81,University of Alabama at Birmingham,1983,New Orleans,Louisiana
Ivan Johnson,203,104,University of Oregon,1984,San Antonio,Texas
JaJuan Johnson,206,113,Wake Forest University,1987,Cheyenne,Wyoming
Jerome Jordan,213,114,University of Tulsa,1986,Kingston,Jamaica
Cory Joseph,190,87,University of Texas at Austin,1991,Toronto,Canada
Enes Kanter,211,111,,1992,Zurich,Switzerland
D.J. Kennedy,211,111,,1992,,
Brandon Knight,178,78,Stanford University,1975,Livingston,New Jersey
Malcolm Lee,196,90,"University of California, Los Angeles",1990,Riverside,California
Kawhi Leonard,201,104,San Diego State University,1991,Los Angeles,California
Travis Leslie,193,92,University of Georgia,1990,Atlanta,Georgia
Jon Leuer,208,103,University of Wisconsin,1989,Long Lake,Minnesota
DeAndre Liggins,198,94,University of Kentucky,1988,Chicago,Illinois
Shelvin Mack,190,92,Butler University,1990,Lexington,Kentucky
Vernon Macklin,208,102,University of Florida,1986,Portsmouth,Virginia
E'Twaun Moore,208,102,,1986,,
Darius Morris,193,86,University of Michigan,1991,Los Angeles,California
Marcus Morris,188,88,Northwestern University,1925,,
Markieff Morris,188,88,Northwestern University,1925,,
Daniel Orton,208,115,University of Kentucky,1990,Oklahoma City,Oklahoma
Jeremy Pargo,188,99,Gonzaga University,1986,Chicago,Illinois
Chandler Parsons,208,104,University of Florida,1988,Casselberry,Florida
Ryan Reid,203,105,Florida State University,1986,Lauderdale Lakes,Florida
Ricky Rubio,193,87,,1990,Barcelona,Spain
Josh Selby,188,83,University of Kansas,1991,Baltimore,Maryland
Iman Shumpert,196,99,Georgia Institute of Technology,1990,Oak Park,Illinois
Xavier Silas,196,92,Northern Illinois University,1988,San Antonio,Texas
Chris Singleton,203,104,Florida State University,1989,Canton,Georgia
Donald Sloan,190,92,Texas A&M University,1988,Shreveport,Louisiana
Jerry Smith,188,86,University of Louisville,1987,Wauwatosa,Wisconsin
Nolan Smith,188,83,Duke University,1988,Louisville,Kentucky
Greg Stiemsma,211,117,University of Wisconsin,1985,Randolph,Wisconsin
Julyan Stone,198,90,University of Texas at El Paso,1988,Alexandria,Virginia
Isaiah Thomas,185,81,Indiana University,1961,Chicago,Illinois
Lance Thomas,203,106,Duke University,1988,Brooklyn,New York
Malcolm Thomas,206,102,San Diego State University,1988,Columbia,Missouri
Trey Thompkins,206,107,University of Texas at Austin,1991,Toronto,Canada
Klay Thompson,201,97,Washington State University,1990,Los Angeles,California
Mychel Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas
Tristan Thompson,206,107,University of Texas at Austin,1991,Toronto,Canada
Jeremy Tyler,208,117,,1991,San Diego,California
Edwin Ubiles,198,92,Siena College,1986,Brooklyn,New York
Jan Vesely,211,108,,1990,Ostrava,Czech Republic
Nikola Vucevic,213,117,University of Southern California,1990,Morges,Switzerland
Kemba Walker,203,95,University of Kentucky,1964,Roberta,Georgia
Derrick Williams,190,90,University of Illinois at Urbana-Champaign,1984,Parkersburg,West Virginia
Elliot Williams,196,86,University of Memphis,1989,Memphis,Tennessee
Jordan Williams,188,83,New Mexico State University,1951,New Haven,Connecticut
Chris Wright,203,102,University of Dayton,1988,Trotwood,Ohio
Quincy Acy,201,108,Baylor University,1990,Tyler,Texas
Josh Akognon,180,83,"California State University, Fullerton",1986,Greenbrae,California
Harrison Barnes,190,92,Northeastern University,1945,,
Will Barton,198,79,University of Memphis,1991,Baltimore,Maryland
Aron Baynes,208,117,Washington State University,1986,Gisborne,New Zealand
Kent Bazemore,196,91,Old Dominion University,1989,Kelford,North Carolina
Bradley Beal,196,93,University of Florida,1993,St. Louis,Missouri
Patrick Beverley,185,83,University of Arkansas,1988,Chicago,Illinois
Victor Claver,206,101,,1988,Valencia,Spain
Chris Copeland,206,108,University of Colorado,1984,Orange,New Jersey
Jae Crowder,198,106,Marquette University,1990,Villa Rica,Georgia
Jared Cunningham,193,88,Oregon State University,1991,Oakland,California
Anthony Davis,206,97,University of Texas at El Paso,1968,Oakland,California
Nando De,206,97,,1968,,
Andre Drummond,211,126,University of Connecticut,1993,Mount Vernon,New York
Kim English,198,90,University of Missouri,1988,Baltimore,Maryland
Festus Ezeli,211,115,Vanderbilt University,1989,Benin City,Nigeria
Evan Fournier,201,92,,1992,Saint-Maurice,France
Joel Freeland,208,113,,1987,Farnham,United Kingdom
Diante Garrett,190,83,Southern Illinois University,1947,,
Draymond Green,201,104,Michigan State University,1990,Saginaw,Michigan
Ben Hansbrough,190,92,University of Notre Dame,1987,Poplar Bluff,Missouri
Maurice Harkless,206,97,St. John's University,1993,Queens,New York
John Henson,211,103,University of North Carolina,1990,Greensboro,North Carolina
Justin Holiday,198,83,University of Washington,1989,Mission Hills,California
Bernard James,208,108,Florida State University,1985,Savannah,Georgia
John Jenkins,193,97,Vanderbilt University,1991,Nashville,Tennessee
Orlando Johnson,196,99,"University of California, Santa Barbara",1989,Monterey,California
Darius Johnson-Odom,201,95,Syracuse University,1970,Morgan City,Louisiana
DeQuan Jones,203,100,University of Miami,1990,Stone Mountain,Georgia
Kevin Jones,203,113,West Virginia University,1989,Mount Vernon,New York
Perry Jones,211,106,Baylor University,1991,Winnsboro,Louisiana
Terrence Jones,206,114,University of Kentucky,1992,Portland,Oregon
Kris Joseph,201,95,Syracuse University,1988,Montreal,Canada
Michael Kidd-Gilchrist,201,105,University of Kentucky,1993,Philadelphia,Pennsylvania
Viacheslav Kravtsov,213,117,,1987,Odessa,Ukraine
Doron Lamb,193,95,University of Kentucky,1991,Queens,New York
Jeremy Lamb,196,83,University of Connecticut,1992,Henrico Valley,Virginia
Meyers Leonard,216,111,University of Illinois at Urbana-Champaign,1992,Woodbridge,Virginia
Damian Lillard,190,88,Weber State University,1990,Oakland,California
Scott Machado,185,92,Iona College,1990,Queens,New York
Kendall Marshall,193,90,University of North Carolina,1991,Dumfries,Virginia
Fab Melo,213,115,Syracuse University,1990,Juiz de Forz,Brazil
Khris Middleton,203,106,Texas A&M University,1991,Charleston,South Carolina
Darius Miller,203,106,University of Kentucky,1990,Maysville,Kentucky
Quincy Miller,206,95,Baylor University,1992,Chicago,Illinois
Donatas Motiejunas,213,100,,1990,Kaunas,Lithuania
Arnett Moultrie,211,112,Mississippi State University,1990,Queens,New York
Kevin Murphy,196,83,Tennessee Technological University,1990,Atlanta,Georgia
Andrew Nicholson,206,113,St. Bonaventure University,1989,Mississauga,Canada
Kyle O'Quinn,208,113,Norfolk State University,1990,Flushing,New York
Tim Ohlbrecht,211,115,,1988,Wuppertal,Germany
Miles Plumlee,211,112,Duke University,1988,Fort Wayne,Indiana
Pablo Prigioni,190,83,,1977,Rio Tercero,Argentina
Austin Rivers,193,90,Duke University,1992,Santa Monica,California
Brian Roberts,185,78,University of Dayton,1985,Toledo,Ohio
Thomas Robinson,208,107,University of Kansas,1991,Washington,District of Columbia
Terrence Ross,201,93,University of Washington,1991,Portland,Oregon
Robert Sacre,213,122,Gonzaga University,1989,Baton Rouge,Louisiana
Mike Scott,203,107,University of Virginia,1988,Chesapeake,Virginia
Tornike Shengelia,206,98,,1991,Tbilisi,Georgia
Alexey Shved,198,86,,1988,Belgorod,Russia
Henry Sims,208,112,Georgetown University,1990,Baltimore,Maryland
Kyle Singler,203,103,Duke University,1988,Medford,Oregon
Jared Sullinger,206,117,Ohio State University,1992,Columbus,Ohio
Jeffery Taylor,193,79,Texas Tech University,1960,Blytheville,Arkansas
Tyshawn Taylor,190,83,University of Kansas,1990,Hoboken,New Jersey
Marquis Teague,188,85,University of Kentucky,1993,Indianapolis,Indiana
Mirza Teletovic,206,109,,1985,Mostar,Bosnia and Herzegovina
Jonas Valanciunas,213,120,,1992,Utena,Lithuania
Jarvis Varnado,206,104,Mississippi State University,1988,Fairfax,Virginia
Dion Waiters,193,102,Syracuse University,1991,Philadelphia,Pennsylvania
Maalik Wayns,188,90,Villanova University,1991,Philadelphia,Pennsylvania
Tony Wroten,198,92,University of Washington,1993,Seattle,Washington
Luke Zeller,211,111,University of Notre Dame,1987,Ames,Iowa
Tyler Zeller,213,114,University of North Carolina,1990,Visalia,California
Steven Adams,213,115,University of Pittsburgh,1993,Rotorua,New Zealand
Giannis Antetokounmpo,211,100,,1994,Athens,Greece
Pero Antic,211,117,,1982,Skopje,FYR Macedonia
Chris Babb,196,102,Iowa State University,1990,Arlington,Texas
Anthony Bennett,203,111,"University of Nevada, Las Vegas",1993,Toronto,Canada
Vander Blue,193,90,Marquette University,1992,Milwaukee,Wisconsin
Lorenzo Brown,196,85,North Carolina State University,1990,Roswell,Georgia
Reggie Bullock,201,92,University of North Carolina,1991,Baltimore,Maryland
Trey Burke,185,86,University of Michigan,1992,Columbus,Ohio
Dwight Buycks,190,86,Marquette University,1989,Milwaukee,Wisconsin
Nick Calathes,198,96,University of Florida,1989,Casselberry,Florida
Kentavious Caldwell-Pope,196,92,University of Georgia,1993,Thomaston,Georgia
Isaiah Canaan,183,91,Murray State University,1991,Biloxi,Mississippi
Michael Carter-Williams,198,86,Syracuse University,1991,Hamilton,Massachusetts
Dionte Christmas,196,92,Temple University,1986,Philadelphia,Pennsylvania
Ian Clark,190,79,Belmont University,1991,Memphis,Tennessee
Robert Covington,206,97,Tennessee State University,1990,Bellwood,Illinois
Allen Crabbe,198,95,University of California,1992,Los Angeles,California
